id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,explicit_content,instrumentalness
205,Mi Gente,J Balvin & Willy William,reggaeton,confident,0.68,98,0.52,0.95,0.13,88,2010s,perreo|confident|sultry,False,0.03
206,Tusa,Karol G ft. Nicki Minaj,reggaeton,carefree,0.76,97,0.68,0.84,0.15,78,2010s,club-ready|rhythmic|hot,True,0.01
207,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",reggaeton,euphoric,0.9,95,0.79,0.82,0.06,82,2020s,dembow|flirtatious|upbeat,True,0.02
208,Vete,Bad Bunny,reggaeton,romantic,0.68,100,0.65,0.8,0.03,81,2010s,urban|festive|magnetic,True,0.01
209,Yo Perreo Sola,Bad Bunny,reggaeton,confident,0.79,101,0.65,0.92,0.05,74,2020s,perreo|confident|sultry,True,0.0
210,Se Preparó,Ozuna,reggaeton,carefree,0.82,99,0.5,0.93,0.08,76,2010s,club-ready|rhythmic|hot,False,0.02
211,Taki Taki,"DJ Snake ft. Selena Gomez, Ozuna, Cardi B",reggaeton,euphoric,0.8,89,0.59,0.8,0.07,70,2010s,dembow|flirtatious|upbeat,True,0.02
212,Diles,Bad Bunny,reggaeton,romantic,0.83,101,0.86,0.81,0.09,74,2010s,urban|festive|magnetic,True,0.02
213,Ella Quiere Beber,Anuel AA,reggaeton,confident,0.8,97,0.82,0.81,0.07,71,2010s,perreo|confident|sultry,True,0.01
214,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna, J Balvin",reggaeton,carefree,0.74,87,0.61,0.92,0.1,69,2010s,club-ready|rhythmic|hot,True,0.02
215,La Modelo,Ozuna ft. Cardi B,reggaeton,euphoric,0.73,86,0.62,0.85,0.1,66,2010s,dembow|flirtatious|upbeat,True,0.02
216,Bichota,Karol G,reggaeton,romantic,0.91,100,0.73,0.93,0.03,62,2020s,urban|festive|magnetic,True,0.02
217,Ay Vamos,J Balvin,reggaeton,confident,0.72,86,0.79,0.94,0.06,60,2010s,perreo|confident|sultry,False,0.01
218,Sin Pijama,Becky G & Natti Natasha,reggaeton,carefree,0.87,100,0.58,0.92,0.04,61,2010s,club-ready|rhythmic|hot,False,0.01
219,Provenza,Karol G,reggaeton,euphoric,0.88,95,0.59,0.93,0.08,56,2020s,dembow|flirtatious|upbeat,False,0.01
220,Ginza,J Balvin,reggaeton,romantic,0.91,95,0.86,0.88,0.08,55,2010s,urban|festive|magnetic,False,0.03
221,Take Five,Dave Brubeck,jazz,relaxed,0.48,112,0.31,0.47,0.85,71,1950s,smoky|intimate|improvisational,False,0.63
222,So What,Miles Davis,jazz,romantic,0.21,142,0.41,0.42,0.8,69,1950s,warm|late-night|sophisticated,False,0.4
223,My Favorite Things,John Coltrane,jazz,nostalgic,0.35,103,0.55,0.42,0.77,64,1960s,swinging|moody|timeless,False,0.77
224,Take the A Train,Duke Ellington,jazz,chill,0.43,109,0.44,0.54,0.79,63,1940s,mellow|expressive|classic,False,0.87
225,Fly Me to the Moon,Frank Sinatra,jazz,relaxed,0.4,114,0.3,0.3,0.83,62,1960s,smoky|intimate|improvisational,False,0.52
226,What a Wonderful World,Louis Armstrong,jazz,romantic,0.39,135,0.35,0.42,0.66,58,1960s,warm|late-night|sophisticated,False,0.57
227,Feeling Good,Nina Simone,jazz,nostalgic,0.23,104,0.46,0.49,0.6,61,1960s,swinging|moody|timeless,False,0.37
228,Blue in Green,Miles Davis,jazz,chill,0.36,107,0.68,0.32,0.83,54,1950s,mellow|expressive|classic,False,0.72
229,Round Midnight,Thelonious Monk,jazz,relaxed,0.41,146,0.68,0.44,0.55,54,1950s,smoky|intimate|improvisational,False,0.81
230,A Night in Tunisia,Dizzy Gillespie,jazz,romantic,0.51,114,0.72,0.54,0.91,53,1940s,warm|late-night|sophisticated,False,0.89
231,All Blues,Miles Davis,jazz,nostalgic,0.44,128,0.52,0.57,0.86,53,1950s,swinging|moody|timeless,False,0.73
232,Autumn Leaves,Cannonball Adderley,jazz,chill,0.42,104,0.5,0.32,0.58,50,1950s,mellow|expressive|classic,False,0.38
233,Summertime,Ella Fitzgerald & Louis Armstrong,jazz,relaxed,0.19,128,0.53,0.43,0.91,49,1950s,smoky|intimate|improvisational,False,0.38
234,Cantaloupe Island,Herbie Hancock,jazz,romantic,0.2,108,0.72,0.51,0.72,46,1960s,warm|late-night|sophisticated,False,0.76
235,Watermelon Man,Herbie Hancock,jazz,nostalgic,0.21,98,0.56,0.42,0.79,44,1960s,swinging|moody|timeless,False,0.51
236,St. Thomas,Sonny Rollins,jazz,chill,0.47,139,0.54,0.53,0.55,42,1950s,mellow|expressive|classic,False,0.6
237,"Mercy, Mercy, Mercy",Cannonball Adderley,jazz,relaxed,0.49,124,0.35,0.33,0.64,35,1960s,smoky|intimate|improvisational,False,0.73
238,Blue Rondo à la Turk,Dave Brubeck,jazz,romantic,0.53,94,0.65,0.36,0.77,31,1950s,warm|late-night|sophisticated,False,0.63
239,Giant Steps,John Coltrane,jazz,nostalgic,0.29,126,0.32,0.49,0.75,30,1960s,swinging|moody|timeless,False,0.65
240,Chameleon,Herbie Hancock,jazz,chill,0.41,135,0.43,0.58,0.52,30,1970s,mellow|expressive|classic,False,0.82
241,Symphony No. 5,Ludwig van Beethoven,classical,peaceful,0.48,121,0.32,0.13,0.93,66,1800s,ethereal|timeless|majestic,False,0.94
242,Clair de Lune,Claude Debussy,classical,nostalgic,0.45,117,0.33,0.29,0.92,69,1900s,serene|meditative|grand,False,0.96
243,Canon in D,Johann Pachelbel,classical,moody,0.2,57,0.54,0.11,0.91,64,1680s,elegant|sweeping|refined,False,0.92
244,The Four Seasons: Spring,Antonio Vivaldi,classical,relaxed,0.14,139,0.35,0.3,0.9,65,1720s,stately|delicate|orchestral,False,0.91
245,Für Elise,Ludwig van Beethoven,classical,peaceful,0.3,61,0.35,0.18,0.89,57,1810s,ethereal|timeless|majestic,False,0.88
246,Moonlight Sonata,Ludwig van Beethoven,classical,nostalgic,0.2,97,0.63,0.17,0.98,61,1800s,serene|meditative|grand,False,0.98
247,Eine kleine Nachtmusik,Wolfgang Amadeus Mozart,classical,moody,0.47,140,0.34,0.25,0.92,56,1780s,elegant|sweeping|refined,False,0.92
248,Symphony No. 9 (Ode to Joy),Ludwig van Beethoven,classical,relaxed,0.21,50,0.23,0.17,0.91,54,1820s,stately|delicate|orchestral,False,0.88
249,Dance of the Sugar Plum Fairy,Pyotr Ilyich Tchaikovsky,classical,peaceful,0.1,84,0.44,0.27,0.94,51,1890s,ethereal|timeless|majestic,False,0.92
250,Swan Lake,Pyotr Ilyich Tchaikovsky,classical,nostalgic,0.44,103,0.25,0.14,0.9,45,1870s,serene|meditative|grand,False,0.91
251,Requiem: Lacrimosa,Wolfgang Amadeus Mozart,classical,moody,0.1,119,0.28,0.2,0.86,48,1790s,elegant|sweeping|refined,False,0.92
252,Rhapsody in Blue,George Gershwin,classical,relaxed,0.2,127,0.53,0.11,0.99,46,1920s,stately|delicate|orchestral,False,0.91
253,Boléro,Maurice Ravel,classical,peaceful,0.22,94,0.57,0.12,0.92,38,1920s,ethereal|timeless|majestic,False,0.92
254,Air on the G String,Johann Sebastian Bach,classical,nostalgic,0.14,90,0.6,0.19,0.87,36,1710s,serene|meditative|grand,False,0.98
255,Toccata and Fugue in D Minor,Johann Sebastian Bach,classical,moody,0.47,88,0.26,0.3,0.95,36,1700s,elegant|sweeping|refined,False,0.89
256,Symphony No. 40,Wolfgang Amadeus Mozart,classical,relaxed,0.43,116,0.43,0.2,0.92,33,1780s,stately|delicate|orchestral,False,0.85
257,Piano Concerto No. 21,Wolfgang Amadeus Mozart,classical,peaceful,0.13,101,0.48,0.26,0.95,28,1780s,ethereal|timeless|majestic,False,0.95
258,Prelude in C Major,Johann Sebastian Bach,classical,nostalgic,0.28,131,0.59,0.25,0.93,30,1720s,serene|meditative|grand,False,0.95
259,O Fortuna (Carmina Burana),Carl Orff,classical,moody,0.15,128,0.56,0.25,0.9,25,1930s,elegant|sweeping|refined,False,0.97
260,Gymnopédie No. 1,Erik Satie,classical,relaxed,0.32,137,0.24,0.08,0.89,27,1880s,stately|delicate|orchestral,False,0.87
261,Enter Sandman,Metallica,metal,angry,0.91,198,0.47,0.52,0.04,77,1990s,aggressive|crushing|explosive,False,0.01
262,Master of Puppets,Metallica,metal,intense,0.88,161,0.5,0.41,0.02,77,1980s,dark|relentless|heavy,False,0.1
263,Paranoid,Black Sabbath,metal,moody,0.92,189,0.25,0.49,0.04,77,1970s,furious|chaotic|intense,False,0.06
264,Iron Man,Black Sabbath,metal,confident,0.94,144,0.48,0.36,0.01,77,1970s,thunderous|rebellious|brutal,False,0.09
265,The Trooper,Iron Maiden,metal,angry,0.96,146,0.38,0.41,0.02,75,1980s,aggressive|crushing|explosive,False,0.06
266,Run to the Hills,Iron Maiden,metal,intense,0.95,156,0.17,0.46,0.02,71,1980s,dark|relentless|heavy,False,0.1
267,Duality,Slipknot,metal,moody,0.98,138,0.23,0.36,0.04,66,2000s,furious|chaotic|intense,True,0.03
268,Psychosocial,Slipknot,metal,confident,0.89,181,0.2,0.5,0.01,63,2000s,thunderous|rebellious|brutal,True,0.06
269,Chop Suey!,System of a Down,metal,angry,0.87,195,0.21,0.29,0.05,60,2000s,aggressive|crushing|explosive,False,0.02
270,Toxicity,System of a Down,metal,intense,0.86,162,0.39,0.31,0.04,61,2000s,dark|relentless|heavy,False,0.0
271,Bodies,Drowning Pool,metal,moody,0.98,172,0.37,0.52,0.02,60,2000s,furious|chaotic|intense,True,0.07
272,Cochise,Audioslave,metal,confident,0.89,156,0.37,0.53,0.0,56,2000s,thunderous|rebellious|brutal,False,0.06
273,Bring Me to Life,Evanescence,metal,angry,0.95,124,0.47,0.33,0.04,57,2000s,aggressive|crushing|explosive,False,0.02
274,Before I Forget,Slipknot,metal,intense,0.99,170,0.42,0.33,0.04,50,2000s,dark|relentless|heavy,True,0.09
275,Blackened,Metallica,metal,moody,0.86,158,0.34,0.31,0.05,53,1980s,furious|chaotic|intense,False,0.03
276,Painkiller,Judas Priest,metal,confident,0.93,183,0.46,0.32,0.03,49,1990s,thunderous|rebellious|brutal,False,0.03
277,Raining Blood,Slayer,metal,angry,0.9,178,0.37,0.47,0.0,43,1980s,aggressive|crushing|explosive,False,0.03
278,Walk,Pantera,metal,intense,0.94,144,0.19,0.51,0.04,43,1990s,dark|relentless|heavy,True,0.08
279,Cowboys from Hell,Pantera,metal,moody,0.86,205,0.16,0.55,0.02,38,1990s,furious|chaotic|intense,False,0.09
280,Nothing Else Matters,Metallica,metal,confident,0.9,177,0.41,0.54,0.02,38,1990s,thunderous|rebellious|brutal,False,0.07
281,The Sound of Silence,Simon & Garfunkel,folk,nostalgic,0.44,112,0.38,0.46,0.75,75,1960s,nostalgic|earthy|bittersweet,False,0.01
282,Blowin' in the Wind,Bob Dylan,folk,peaceful,0.52,113,0.6,0.47,0.82,72,1960s,intimate|wistful|acoustic,False,0.08
283,The Times They Are a-Changin',Bob Dylan,folk,moody,0.29,76,0.48,0.4,0.95,72,1960s,homespun|tender|reflective,False,0.03
284,Fast Car,Tracy Chapman,folk,relaxed,0.52,116,0.51,0.46,0.66,71,1980s,timeless|gentle|storytelling,False,0.02
285,Landslide,Fleetwood Mac,folk,nostalgic,0.51,73,0.5,0.42,0.71,63,1970s,nostalgic|earthy|bittersweet,False,0.07
286,The Boxer,Simon & Garfunkel,folk,peaceful,0.49,100,0.36,0.42,0.64,64,1960s,intimate|wistful|acoustic,False,0.07
287,Big Yellow Taxi,Joni Mitchell,folk,moody,0.44,113,0.52,0.3,0.77,62,1970s,homespun|tender|reflective,False,0.06
288,Both Sides Now,Joni Mitchell,folk,relaxed,0.39,97,0.52,0.43,0.83,56,1960s,timeless|gentle|storytelling,False,0.02
289,House of the Rising Sun,The Animals,folk,nostalgic,0.3,68,0.59,0.44,0.6,55,1960s,nostalgic|earthy|bittersweet,False,0.03
290,Blackbird,The Beatles,folk,peaceful,0.55,72,0.69,0.41,0.69,53,1960s,intimate|wistful|acoustic,False,0.01
291,Flowers in Your Hair,The Lumineers,folk,moody,0.43,114,0.55,0.39,0.95,57,2010s,homespun|tender|reflective,False,0.03
292,Wagon Wheel,Old Crow Medicine Show,folk,relaxed,0.52,92,0.31,0.54,0.9,55,2000s,timeless|gentle|storytelling,False,0.01
293,The Weight,The Band,folk,nostalgic,0.26,102,0.45,0.31,0.94,52,1960s,nostalgic|earthy|bittersweet,False,0.07
294,Mr. Tambourine Man,The Byrds,folk,peaceful,0.54,97,0.56,0.43,0.78,46,1960s,intimate|wistful|acoustic,False,0.07
295,Scarborough Fair,Simon & Garfunkel,folk,moody,0.33,85,0.36,0.52,0.86,47,1960s,homespun|tender|reflective,False,0.0
296,Suzanne,Leonard Cohen,folk,relaxed,0.42,69,0.38,0.3,0.8,45,1960s,timeless|gentle|storytelling,False,0.04
297,Hallelujah,Jeff Buckley,folk,nostalgic,0.51,83,0.59,0.39,0.67,44,1990s,nostalgic|earthy|bittersweet,False,0.02
298,Ripple,Grateful Dead,folk,peaceful,0.24,100,0.7,0.34,0.92,40,1970s,intimate|wistful|acoustic,False,0.05
299,Angel from Montgomery,John Prine,folk,moody,0.47,120,0.41,0.36,0.63,35,1970s,homespun|tender|reflective,False,0.05
300,The Night They Drove Old Dixie Down,The Band,folk,relaxed,0.32,71,0.51,0.44,0.85,36,1960s,timeless|gentle|storytelling,False,0.01
301,The Thrill Is Gone,B.B. King,blues,moody,0.49,64,0.54,0.58,0.58,71,1960s,soulful|gritty|raw,False,0.25
302,Cross Road Blues,Robert Johnson,blues,nostalgic,0.43,77,0.29,0.37,0.53,68,1930s,mournful|smoky|heartfelt,False,0.11
303,Sweet Home Chicago,Robert Johnson,blues,romantic,0.6,76,0.48,0.58,0.54,68,1930s,weathered|expressive|late-night,False,0.29
304,Pride and Joy,Stevie Ray Vaughan,blues,relaxed,0.33,89,0.27,0.41,0.33,64,1980s,earthy|emotive|classic,False,0.16
305,I'd Rather Go Blind,Etta James,blues,moody,0.48,82,0.2,0.43,0.55,60,1960s,soulful|gritty|raw,False,0.06
306,At Last,Etta James,blues,nostalgic,0.58,85,0.36,0.56,0.44,57,1960s,mournful|smoky|heartfelt,False,0.29
307,Boom Boom,John Lee Hooker,blues,romantic,0.63,73,0.46,0.53,0.68,60,1960s,weathered|expressive|late-night,False,0.22
308,The Sky Is Crying,Stevie Ray Vaughan,blues,relaxed,0.43,88,0.38,0.54,0.46,55,1990s,earthy|emotive|classic,False,0.18
309,Hoochie Coochie Man,Muddy Waters,blues,moody,0.38,121,0.35,0.54,0.6,53,1950s,soulful|gritty|raw,False,0.24
310,Mannish Boy,Muddy Waters,blues,nostalgic,0.36,98,0.33,0.48,0.39,50,1950s,mournful|smoky|heartfelt,False,0.09
311,Stormy Monday,T-Bone Walker,blues,romantic,0.63,111,0.29,0.37,0.4,48,1940s,weathered|expressive|late-night,False,0.19
312,Killing Floor,Howlin' Wolf,blues,relaxed,0.48,101,0.28,0.55,0.71,48,1960s,earthy|emotive|classic,False,0.21
313,Smokestack Lightning,Howlin' Wolf,blues,moody,0.34,103,0.24,0.52,0.51,46,1950s,soulful|gritty|raw,False,0.28
314,Born Under a Bad Sign,Albert King,blues,nostalgic,0.52,65,0.37,0.55,0.33,40,1960s,mournful|smoky|heartfelt,False,0.25
315,Statesboro Blues,Blind Willie McTell,blues,romantic,0.28,75,0.49,0.38,0.6,41,1920s,weathered|expressive|late-night,False,0.05
316,Red House,Jimi Hendrix,blues,relaxed,0.42,119,0.42,0.32,0.52,35,1960s,earthy|emotive|classic,False,0.15
317,Every Day I Have the Blues,B.B. King,blues,moody,0.55,94,0.19,0.55,0.58,40,1950s,soulful|gritty|raw,False,0.25
318,Since I've Been Loving You,Led Zeppelin,blues,nostalgic,0.32,70,0.37,0.39,0.56,33,1970s,mournful|smoky|heartfelt,False,0.11
319,Ain't No Love in the Heart of the City,"Bobby ""Blue"" Bland",blues,romantic,0.57,68,0.32,0.43,0.54,30,1970s,weathered|expressive|late-night,False,0.3
320,Further On Up the Road,"Bobby ""Blue"" Bland",blues,relaxed,0.53,68,0.42,0.56,0.62,30,1950s,earthy|emotive|classic,False,0.07
321,Oh Happy Day,Edwin Hawkins Singers,gospel,euphoric,0.66,75,0.76,0.6,0.17,72,1960s,uplifting|soulful|reverent,False,0.05
322,Total Praise,Richard Smallwood,gospel,happy,0.57,80,0.87,0.67,0.22,71,1990s,joyful|powerful|spirited,False,0.05
323,Take Me to the King,Tamela Mann,gospel,peaceful,0.67,102,0.5,0.4,0.47,68,2010s,heartfelt|triumphant|warm,False,0.05
324,I Smile,Kirk Franklin,gospel,confident,0.43,108,0.49,0.45,0.19,68,2010s,soaring|hopeful|communal,False,0.05
325,Stomp,Kirk Franklin,gospel,euphoric,0.83,106,0.55,0.46,0.44,66,1990s,uplifting|soulful|reverent,False,0.02
326,Break Every Chain,Tasha Cobbs Leonard,gospel,happy,0.57,85,0.83,0.6,0.17,60,2010s,joyful|powerful|spirited,False,0.04
327,Way Maker,Sinach,gospel,peaceful,0.46,97,0.85,0.49,0.42,58,2010s,heartfelt|triumphant|warm,False,0.06
328,Goodness of God,CeCe Winans,gospel,confident,0.76,71,0.76,0.63,0.3,57,2010s,soaring|hopeful|communal,False,0.01
329,"10,000 Reasons (Bless the Lord)",Matt Redman,gospel,euphoric,0.59,91,0.78,0.59,0.17,57,2010s,uplifting|soulful|reverent,False,0.04
330,Amazing Grace (My Chains Are Gone),Chris Tomlin,gospel,happy,0.73,78,0.6,0.5,0.42,51,2000s,joyful|powerful|spirited,False,0.01
331,I Won't Complain,Rev. Paul Jones,gospel,peaceful,0.58,79,0.48,0.48,0.27,47,1980s,heartfelt|triumphant|warm,False,0.02
332,His Eye Is on the Sparrow,Whitney Houston,gospel,confident,0.5,125,0.73,0.54,0.18,48,1990s,soaring|hopeful|communal,False,0.01
333,"Precious Lord, Take My Hand",Mahalia Jackson,gospel,euphoric,0.68,109,0.86,0.38,0.29,47,1950s,uplifting|soulful|reverent,False,0.05
334,How Great Thou Art,Carrie Underwood,gospel,happy,0.67,99,0.73,0.43,0.28,42,2010s,joyful|powerful|spirited,False,0.01
335,My Life Is in Your Hands,Kirk Franklin,gospel,peaceful,0.64,76,0.55,0.47,0.25,40,1990s,heartfelt|triumphant|warm,False,0.05
336,Every Praise,Hezekiah Walker,gospel,confident,0.84,131,0.74,0.44,0.18,42,2010s,soaring|hopeful|communal,False,0.02
337,You Are Great,William McDowell,gospel,euphoric,0.57,116,0.83,0.49,0.26,40,2010s,uplifting|soulful|reverent,False,0.05
338,Order My Steps,GMWA Women of Worship,gospel,happy,0.85,85,0.61,0.57,0.39,32,1990s,joyful|powerful|spirited,False,0.03
339,Great Is Thy Faithfulness,Fanny Crosby & Thomas Chisholm (trad.),gospel,peaceful,0.6,108,0.61,0.6,0.32,30,1920s,heartfelt|triumphant|warm,False,0.03
340,Center of My Joy,Richard Smallwood,gospel,confident,0.59,118,0.64,0.68,0.21,30,1990s,soaring|hopeful|communal,False,0.06
341,Blitzkrieg Bop,Ramones,punk,angry,0.95,141,0.68,0.49,0.07,78,1970s,rebellious|raw|fast,False,0.03
342,I Wanna Be Sedated,Ramones,punk,intense,0.94,190,0.56,0.41,0.03,75,1970s,snotty|aggressive|DIY,False,0.02
343,Anarchy in the U.K.,Sex Pistols,punk,confident,0.9,186,0.31,0.62,0.05,76,1970s,chaotic|defiant|loud,False,0.02
344,God Save the Queen,Sex Pistols,punk,moody,0.97,191,0.51,0.57,0.04,74,1970s,anthemic|angsty|frantic,False,0.05
345,Should I Stay or Should I Go,The Clash,punk,angry,0.93,148,0.33,0.44,0.07,72,1980s,rebellious|raw|fast,False,0.01
346,London Calling,The Clash,punk,intense,0.92,189,0.69,0.46,0.08,66,1970s,snotty|aggressive|DIY,False,0.01
347,Basket Case,Green Day,punk,confident,0.87,204,0.51,0.55,0.02,67,1990s,chaotic|defiant|loud,False,0.02
348,American Idiot,Green Day,punk,moody,0.94,202,0.34,0.62,0.05,69,2000s,anthemic|angsty|frantic,False,0.02
349,Holiday,Green Day,punk,angry,0.85,156,0.43,0.46,0.08,62,2000s,rebellious|raw|fast,False,0.03
350,All the Small Things,blink-182,punk,intense,0.85,195,0.41,0.45,0.08,64,1990s,snotty|aggressive|DIY,False,0.01
351,What's My Age Again?,blink-182,punk,confident,0.93,159,0.67,0.56,0.05,58,1990s,chaotic|defiant|loud,False,0.03
352,Self Esteem,The Offspring,punk,moody,0.9,197,0.38,0.48,0.02,56,1990s,anthemic|angsty|frantic,False,0.04
353,Come Out and Play,The Offspring,punk,angry,0.84,163,0.47,0.48,0.0,53,1990s,rebellious|raw|fast,False,0.01
354,My Own Worst Enemy,Lit,punk,intense,0.94,146,0.52,0.57,0.05,50,1990s,snotty|aggressive|DIY,False,0.02
355,Teenage Dirtbag,Wheatus,punk,confident,0.86,200,0.5,0.53,0.06,51,2000s,chaotic|defiant|loud,False,0.04
356,Sk8er Boi,Avril Lavigne,punk,moody,0.89,196,0.54,0.58,0.07,49,2000s,anthemic|angsty|frantic,False,0.02
357,Complicated,Avril Lavigne,punk,angry,0.85,155,0.41,0.44,0.01,43,2000s,rebellious|raw|fast,False,0.02
358,Welcome to the Black Parade,My Chemical Romance,punk,intense,0.89,155,0.52,0.48,0.05,48,2000s,snotty|aggressive|DIY,False,0.03
359,I'm Not Okay (I Promise),My Chemical Romance,punk,confident,0.97,160,0.51,0.5,0.01,42,2000s,chaotic|defiant|loud,False,0.02
360,Fat Lip,Sum 41,punk,moody,0.85,183,0.68,0.5,0.02,40,2000s,anthemic|angsty|frantic,False,0.02
361,Superstition,Stevie Wonder,funk,confident,0.79,106,0.77,0.84,0.26,77,1970s,groovy|danceable|upbeat,False,0.04
362,Give Up the Funk (Tear the Roof off the Sucker),Parliament,funk,carefree,0.59,117,0.6,0.76,0.1,80,1970s,syncopated|strutting|brassy,False,0.02
363,Flash Light,Parliament,funk,happy,0.76,117,0.8,0.87,0.07,78,1970s,slinky|infectious|rhythmic,False,0.01
364,Play That Funky Music,Wild Cherry,funk,euphoric,0.84,104,0.72,0.91,0.24,71,1970s,bouncy|confident|electric,False,0.04
365,Le Freak,Chic,funk,confident,0.72,116,0.82,0.91,0.12,71,1970s,groovy|danceable|upbeat,False,0.08
366,Good Times,Chic,funk,carefree,0.69,119,0.55,0.93,0.07,67,1970s,syncopated|strutting|brassy,False,0.06
367,Brick House,The Commodores,funk,happy,0.82,115,0.65,0.9,0.2,64,1970s,slinky|infectious|rhythmic,False,0.01
368,Get Up (I Feel Like Being a) Sex Machine,James Brown,funk,euphoric,0.65,99,0.81,0.87,0.18,62,1970s,bouncy|confident|electric,False,0.05
369,Papa's Got a Brand New Bag,James Brown,funk,confident,0.89,102,0.62,0.81,0.26,64,1960s,groovy|danceable|upbeat,False,0.08
370,I Wanna Take You Higher,Sly and the Family Stone,funk,carefree,0.61,117,0.8,0.94,0.3,57,1960s,syncopated|strutting|brassy,False,0.07
371,Everyday People,Sly and the Family Stone,funk,happy,0.86,100,0.57,0.82,0.1,57,1960s,slinky|infectious|rhythmic,False,0.07
372,Higher Ground,Stevie Wonder,funk,euphoric,0.63,113,0.62,0.84,0.16,59,1970s,bouncy|confident|electric,False,0.05
373,Cissy Strut,The Meters,funk,confident,0.61,109,0.79,0.9,0.27,53,1960s,groovy|danceable|upbeat,False,0.04
374,Pick Up the Pieces,Average White Band,funk,carefree,0.77,120,0.8,0.9,0.23,53,1970s,syncopated|strutting|brassy,False,0.04
375,September,"Earth, Wind & Fire",funk,happy,0.69,95,0.81,0.83,0.29,49,1970s,slinky|infectious|rhythmic,False,0.07
376,Boogie Wonderland,"Earth, Wind & Fire",funk,euphoric,0.68,102,0.64,0.87,0.19,46,1970s,bouncy|confident|electric,False,0.04
377,Bootylicious,Destiny's Child,funk,confident,0.8,94,0.54,0.88,0.26,48,2000s,groovy|danceable|upbeat,False,0.0
378,Kiss,Prince,funk,carefree,0.63,107,0.52,0.95,0.09,39,1980s,syncopated|strutting|brassy,False,0.06
379,1999,Prince,funk,happy,0.79,98,0.83,0.93,0.06,38,1980s,slinky|infectious|rhythmic,False,0.03
380,It's Your Thing,The Isley Brothers,funk,euphoric,0.79,113,0.58,0.83,0.12,38,1960s,bouncy|confident|electric,False,0.06
381,Feather,Nujabes,lofi,chill,0.35,84,0.38,0.43,0.42,62,2000s,cozy|nostalgic|hazy,False,0.75
382,Luv(sic) Part 3,Nujabes ft. Shing02,lofi,relaxed,0.28,62,0.56,0.58,0.85,57,2000s,mellow|rainy-day|meditative,False,0.67
383,Aruarian Dance,Nujabes,lofi,focused,0.17,74,0.38,0.57,0.43,56,2000s,dusty|warm|understated,False,0.64
384,Reflection Eternal,Nujabes,lofi,nostalgic,0.26,88,0.58,0.41,0.86,56,2000s,soothing|reflective|calm,False,0.52
385,Modal Soul,Nujabes,lofi,chill,0.15,82,0.4,0.46,0.48,58,2000s,cozy|nostalgic|hazy,False,0.83
386,Workinonit,J Dilla,lofi,relaxed,0.33,76,0.61,0.4,0.43,53,2000s,mellow|rainy-day|meditative,False,0.83
387,Time: The Donut of the Heart,J Dilla,lofi,focused,0.27,92,0.48,0.57,0.5,48,2000s,dusty|warm|understated,False,0.78
388,Waves,J Dilla,lofi,nostalgic,0.33,85,0.53,0.57,0.71,50,2000s,soothing|reflective|calm,False,0.88
389,Kemuri,DJ Krush,lofi,chill,0.24,78,0.53,0.43,0.57,49,1990s,cozy|nostalgic|hazy,False,0.78
390,Nine Levels (Ye Ye),DJ Krush ft. CL Smooth,lofi,relaxed,0.39,69,0.5,0.41,0.62,45,1990s,mellow|rainy-day|meditative,False,0.75
391,Shiki no Uta,Uyama Hiroto,lofi,focused,0.44,73,0.63,0.41,0.79,41,2000s,dusty|warm|understated,False,0.74
392,Robots,Quasimoto (Madlib),lofi,nostalgic,0.35,86,0.49,0.62,0.42,37,2000s,soothing|reflective|calm,False,0.75
393,Come On Feet,Quasimoto (Madlib),lofi,chill,0.21,91,0.37,0.57,0.62,39,2000s,cozy|nostalgic|hazy,False,0.77
394,La La La,Nujabes,lofi,relaxed,0.27,84,0.47,0.53,0.64,33,2010s,mellow|rainy-day|meditative,False,0.53
395,Sunset Sooner,Fat Jon,lofi,focused,0.17,91,0.41,0.57,0.64,36,2000s,dusty|warm|understated,False,0.65
396,Cloud Nine,idealism & Sarcastic Sounds,lofi,nostalgic,0.4,83,0.54,0.45,0.59,31,2010s,soothing|reflective|calm,False,0.94
397,Snow,Kupla,lofi,chill,0.22,91,0.48,0.49,0.67,33,2010s,cozy|nostalgic|hazy,False,0.61
398,Homework,j'san,lofi,relaxed,0.37,65,0.35,0.41,0.39,28,2010s,mellow|rainy-day|meditative,False,0.7
399,Petrichor,Philanthrope,lofi,focused,0.31,88,0.57,0.42,0.44,25,2010s,dusty|warm|understated,False,0.85
400,Home,Philanthrope,lofi,nostalgic,0.42,86,0.62,0.46,0.59,25,2010s,soothing|reflective|calm,False,0.72
401,Space Song,Beach House,dream pop,peaceful,0.59,92,0.48,0.44,0.2,62,2010s,hazy|dreamy|ethereal,False,0.26
402,Myth,Beach House,dream pop,chill,0.33,94,0.62,0.48,0.23,59,2010s,shimmering|wistful|weightless,False,0.24
403,Zebra,Beach House,dream pop,nostalgic,0.55,88,0.4,0.43,0.34,65,2010s,gauzy|tender|atmospheric,False,0.09
404,Wildflower,Beach House,dream pop,romantic,0.55,114,0.39,0.38,0.56,62,2010s,floaty|nostalgic|soft-focus,False,0.13
405,Fade Into You,Mazzy Star,dream pop,peaceful,0.46,95,0.49,0.53,0.26,61,1990s,hazy|dreamy|ethereal,False,0.25
